What is your age?,What is your gender?,In which area do you stay in western line in Mumbai?,Your yearly income in INR,Do you own a house?,Where is your house located?,What is the carpet area of your current house in square feet?,How many rooms do you have?,What is the current price of your house in INR?,c_Car Parking,c_24hr Water Supply,c_Maintenance Staff,c_Gas Pipeline,c_Lift,c_Club house,c_24Hr Security,c_Gym,c_School,c_College,c_Hospitals,c_Medical,c_Railway Station,c_Market,Are you planning to buy a new house in Mumbai(Western Line)?,Would you take a housing loan if you had to buy a house?,In which area you would like to buy a new house in Mumbai(Western Line) if you had to?,What type of house you would look for if you had to buy a house?,What would be your budget if you had to buy a house?,How much carpet area would you want(square feet) if you had to buy a house?,How many rooms do you want if you had to buy a house?,If you had to buy a house what would you buy?,n_Car Parking,n_24hr Water Supply,n_Maintenance Staff,n_Gas Pipeline,n_Lift,n_Club house,n_24Hr Security,n_Gym,n_School,n_College,n_Hospitals,n_Medical,n_Railway Station,n_Market
46 - 55,Male,Andheri,7lakh - 9lakh,Yes,Building,2016,3 BHK,33400000,"Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",No,Yes,Borivali,Bungalow,1Cr - 2Cr,2000,3 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Andheri,9lakh - 11lakh,Yes,Building,1260,2 BHK,20000000,"Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Railway Station, Market","Railway Station, Market","Railway Station, Market","Railway Station, Market","Railway Station, Market","Railway Station, Market",No,Yes,Borivali,Row House,2Cr - 3Cr,2000,3 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
36 - 45,Male,Andheri,11lakh and above,Yes,Building,450,1 BHK,15000000,"24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",Yes,Yes,Dadar,Building,1Cr - 2Cr,450,1 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
36 - 45,Female,Andheri,11lakh and above,Yes,Building,750,1 BHK,20000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,No,Andheri,Building,1Cr - 2Cr,1000,2 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
25 - 35,Male,Andheri,9lakh - 11lakh,Yes,Building,475,1 BHK,15000000,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Dadar,Building,1Cr - 2Cr,500,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
36 - 45,Male,Andheri,3lakh - 5lakh,Yes,Building,1000,2 BHK,24000000,"Car Parking, Maintenance Staff, 24Hr Security","Car Parking, Maintenance Staff, 24Hr Security","Car Parking, Maintenance Staff, 24Hr Security","Car Parking, Maintenance Staff, 24Hr Security","Car Parking, Maintenance Staff, 24Hr Security","Car Parking, Maintenance Staff, 24Hr Security","Car Parking, Maintenance Staff, 24Hr Security","Car Parking, Maintenance Staff, 24Hr Security","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market",No,No,Andheri,Building,1Cr - 2Cr,750,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
36 - 45,Male,Andheri,5lakh - 7lakh,Yes,Building,1120,2 BHK,3900000,"Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Medical, Market","Medical, Market","Medical, Market","Medical, Market","Medical, Market","Medical, Market",Yes,No,Bandra,Building,2Cr - 3Cr,1000,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Andheri,3lakh - 5lakh,Yes,Building,1100,2 BHK,18000000,"Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym",Medical,Medical,Medical,Medical,Medical,Medical,No,No,Marine Lines,Building,1Cr - 2Cr,777,2 BHK,Resale House,"24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","Medical, Market","Medical, Market","Medical, Market","Medical, Market","Medical, Market","Medical, Market"
36 - 45,Female,Bandra,5lakh - 7lakh,Yes,Building,1000,2 BHK,35000000,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",Yes,No,Mahim,Building,2Cr - 3Cr,815,2 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Bandra,9lakh - 11lakh,Yes,Building,833,2 BHK,52600000,"24hr Water Supply, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,No,Bandra,Building,2Cr - 3Cr,850,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
